EMPRESA_JUNIOR,FEDERACAO,TEMPO_MEDIO_DIAS,META_participacao_eventos,META_Impacto,MES,FATURAMENTO,PROJETOS,N_ACOES_COMPARTILHADAS,ESTADO,CIDADE,MEMBROS
EJEQ,FEJEPAR,65.63,95,26,4,12582.25,3,0,PR,Curitiba,24
UFLA Júnior Consultoria Administrativa,FEJEMG,55,65,23,1,0,0,0,MG,Lavras,14
UFLA Júnior Consultoria Administrativa,FEJEMG,55,65,23,2,1670,1,0,MG,Lavras,14
UFLA Júnior Consultoria Administrativa,FEJEMG,55,65,23,3,0,0,0,MG,Lavras,14
UFLA Júnior Consultoria Administrativa,FEJEMG,55,65,23,4,0,0,0,MG,Lavras,14
ICMC Junior,FEJESP,18,55,13,1,2900,2,0,SP,São Carlos,8
ICMC Junior,FEJESP,18,55,13,2,700,1,0,SP,São Carlos,8
ICMC Junior,FEJESP,18,55,13,3,0,0,0,SP,São Carlos,8
ICMC Junior,FEJESP,18,55,13,4,1200,1,0,SP,São Carlos,8
Nutrirp,FEJESP,6.23,37,31,1,80,1,0,SP,Ribeirão Preto,7
Nutrirp,FEJESP,6.23,37,31,2,0,0,0,SP,Ribeirão Preto,7
Nutrirp,FEJESP,6.23,37,31,3,930,11,1,SP,Ribeirão Preto,7
Nutrirp,FEJESP,6.23,37,31,4,1536.55,1,0,SP,Ribeirão Preto,7
Nuclêa Jr ,Pará Júnior,NaN,0,0,1,0,0,0,PA,Marabá,16
Nuclêa Jr ,Pará Júnior,NaN,0,0,2,0,0,0,PA,Marabá,16
Nuclêa Jr ,Pará Júnior,NaN,0,0,3,0,0,0,PA,Marabá,16
Nuclêa Jr ,Pará Júnior,NaN,0,0,4,0,0,0,PA,Marabá,16
EJEP,FEJESC,36.43,75,23,1,3000,1,0,SC,Florianópolis,27
EJEP,FEJESC,36.43,75,23,2,0,0,0,SC,Florianópolis,27
EJEP,FEJESC,36.43,75,23,3,27500,4,0,SC,Florianópolis,27
EJEP,FEJESC,36.43,75,23,4,3800,2,0,SC,Florianópolis,27
SEC Jr. Consultoria,FEJEMG,1.25,43,7,1,181.92,1,0,MG,Viçosa,11
SEC Jr. Consultoria,FEJEMG,1.25,43,7,2,344,1,0,MG,Viçosa,11
SEC Jr. Consultoria,FEJEMG,1.25,43,7,3,85.6,1,0,MG,Viçosa,11
SEC Jr. Consultoria,FEJEMG,1.25,43,7,4,140.8,1,0,MG,Viçosa,11
NuTEQ,RN Júnior,158,35,32,1,0,0,0,RN,Natal,21
NuTEQ,RN Júnior,158,35,32,2,2706,2,0,RN,Natal,21
NuTEQ,RN Júnior,158,35,32,3,3500,1,0,RN,Natal,21
NuTEQ,RN Júnior,158,35,32,4,0,0,0,RN,Natal,21
Alternativa Junior ,FEJERS,NaN,0,0,1,0,0,0,RS,Santiago,2
Alternativa Junior ,FEJERS,NaN,0,0,2,0,0,0,RS,Santiago,2
Alternativa Junior ,FEJERS,NaN,0,0,3,0,0,0,RS,Santiago,2
Alternativa Junior ,FEJERS,NaN,0,0,4,0,0,0,RS,Santiago,2
EJEM - UFSC,FEJESC,35,53,1,1,930,1,0,SC,,11
EJEM - UFSC,FEJESC,35,53,1,2,0,0,0,SC,,11
EJEM - UFSC,FEJESC,35,53,1,3,0,0,0,SC,,11
EJEM - UFSC,FEJESC,35,53,1,4,0,0,0,SC,,11
Ambiental Jr.,FEJEMG,NaN,0,0,1,0,0,0,MG,Viçosa,13
Ambiental Jr.,FEJEMG,NaN,0,0,2,0,0,0,MG,Viçosa,13
Ambiental Jr.,FEJEMG,NaN,0,0,3,0,0,0,MG,Viçosa,13
Ambiental Jr.,FEJEMG,NaN,0,0,4,0,0,0,MG,Viçosa,13
Equacione Jr.,Juniores,22.5,80,18,1,3500,1,0,ES,Alegre,15
Equacione Jr.,Juniores,22.5,80,18,2,0,0,0,ES,Alegre,15
Equacione Jr.,Juniores,22.5,80,18,3,225,1,0,ES,Alegre,15
Equacione Jr.,Juniores,22.5,80,18,4,801.5,4,0,ES,Alegre,15
Comp Júnior,FEJEMG,NaN,80,3,1,0,0,0,MG,Lavras,21
Comp Júnior,FEJEMG,NaN,80,3,2,0,0,0,MG,Lavras,21
Comp Júnior,FEJEMG,NaN,80,3,3,0,0,0,MG,Lavras,21
Comp Júnior,FEJEMG,NaN,80,3,4,0,0,0,MG,Lavras,21
Empresa Júnior Engenharia Mackenzie,FEJESP,23.75,33,15,1,28631.96,3,0,SP,São Paulo,40
Empresa Júnior Engenharia Mackenzie,FEJESP,23.75,33,15,2,0,0,0,SP,São Paulo,40
Empresa Júnior Engenharia Mackenzie,FEJESP,23.75,33,15,3,0,0,0,SP,São Paulo,40
Empresa Júnior Engenharia Mackenzie,FEJESP,23.75,33,15,4,1531.51,1,0,SP,São Paulo,40
Provisão Empresa Júnior,FEJEMG,23,33,3,1,250,1,0,MG,Carangola,13
Provisão Empresa Júnior,FEJEMG,23,33,3,2,0,0,0,MG,Carangola,13
Provisão Empresa Júnior,FEJEMG,23,33,3,3,0,0,0,MG,Carangola,13
Provisão Empresa Júnior,FEJEMG,23,33,3,4,0,0,0,MG,Carangola,13
OBJETIVA JR,FEJERS,54.5,60,21,1,5000,1,0,RS,Santa Maria,15
OBJETIVA JR,FEJERS,54.5,60,21,2,0,0,0,RS,Santa Maria,15
OBJETIVA JR,FEJERS,54.5,60,21,3,4000,1,1,RS,Santa Maria,15
OBJETIVA JR,FEJERS,54.5,60,21,4,0,0,0,RS,Santa Maria,15
All Química Consultoria Júnior,FEJESP,87.5,33,1,1,830,1,1,SP,,13
All Química Consultoria Júnior,FEJESP,87.5,33,1,2,3000,1,0,SP,,13
All Química Consultoria Júnior,FEJESP,87.5,33,1,3,2000,1,0,SP,,13
All Química Consultoria Júnior,FEJESP,87.5,33,1,4,2600,1,1,SP,,13
ADCONT JR,Pará Júnior,NaN,0,0,1,0,0,0,PA,Altamira,7
ADCONT JR,Pará Júnior,NaN,0,0,2,0,0,0,PA,Altamira,7
ADCONT JR,Pará Júnior,NaN,0,0,3,0,0,0,PA,Altamira,7
ADCONT JR,Pará Júnior,NaN,0,0,4,0,0,0,PA,Altamira,7
Sinapse Júnior - Consultoria e Soluções,Juniores,53.33,60,1,1,588,2,0,ES,Alegre,9
Sinapse Júnior - Consultoria e Soluções,Juniores,53.33,60,1,2,96,1,0,ES,Alegre,9
Sinapse Júnior - Consultoria e Soluções,Juniores,53.33,60,1,3,0,0,0,ES,Alegre,9
Sinapse Júnior - Consultoria e Soluções,Juniores,53.33,60,1,4,0,0,0,ES,Alegre,9
VetJr,FEJEMG,15,33,13,1,0,0,0,MG,Belo Horizonte,21
VetJr,FEJEMG,15,33,13,2,0,0,0,MG,Belo Horizonte,21
VetJr,FEJEMG,15,33,13,3,190,1,0,MG,Belo Horizonte,21
VetJr,FEJEMG,15,33,13,4,0,0,0,MG,Belo Horizonte,21
AD Júnior Consultoria e Projetos,RioJunior,20,52,7,1,1855.7,3,0,RJ,Três Rios,5
AD Júnior Consultoria e Projetos,RioJunior,20,52,7,2,0,0,0,RJ,Três Rios,5
AD Júnior Consultoria e Projetos,RioJunior,20,52,7,3,0,0,0,RJ,Três Rios,5
AD Júnior Consultoria e Projetos,RioJunior,20,52,7,4,0,0,0,RJ,Três Rios,5
ADM.Jr - UEFS,UNIJr-BA,47,85,3,1,2000,1,0,BA,Feira de Santana,10
ADM.Jr - UEFS,UNIJr-BA,47,85,3,2,0,0,0,BA,Feira de Santana,10
ADM.Jr - UEFS,UNIJr-BA,47,85,3,3,0,0,0,BA,Feira de Santana,10
ADM.Jr - UEFS,UNIJr-BA,47,85,3,4,0,0,0,BA,Feira de Santana,10
Equilíbrio Assessoria Econômica,FEJERS,11.73,65,12,1,6475,28,0,RS,Porto Alegre,14
Equilíbrio Assessoria Econômica,FEJERS,11.73,65,12,2,9605,26,0,RS,Porto Alegre,14
Equilíbrio Assessoria Econômica,FEJERS,11.73,65,12,3,3095,31,0,RS,Porto Alegre,14
Equilíbrio Assessoria Econômica,FEJERS,11.73,65,12,4,0,0,0,RS,Porto Alegre,14
ACCONT EMPRESA JÚNIOR,FEJECE,77.79,80,72,1,6160,16,2,CE,,17
ACCONT EMPRESA JÚNIOR,FEJECE,77.79,80,72,2,9840,12,0,CE,,17
ACCONT EMPRESA JÚNIOR,FEJECE,77.79,80,72,3,7950,10,0,CE,,17
ACCONT EMPRESA JÚNIOR,FEJECE,77.79,80,72,4,2460,4,0,CE,,17
Inova Jr. Unifei,FEJEMG,21.11,0,0,1,0,0,0,MG,,12
Inova Jr. Unifei,FEJEMG,21.11,0,0,2,1850,5,0,MG,,12
Inova Jr. Unifei,FEJEMG,21.11,0,0,3,400,1,0,MG,,12
Inova Jr. Unifei,FEJEMG,21.11,0,0,4,1750,3,0,MG,,12
EJ BRAVA,FEJEMS,11.5,60,2,1,0,0,0,MS,Campo Grande,20
EJ BRAVA,FEJEMS,11.5,60,2,2,0,0,0,MS,Campo Grande,20
EJ BRAVA,FEJEMS,11.5,60,2,3,300,1,0,MS,Campo Grande,20
EJ BRAVA,FEJEMS,11.5,60,2,4,100,1,0,MS,Campo Grande,20
StartUP! Engenharia,FEJESP,34,35,3,1,0,0,0,SP,Araras,25
StartUP! Engenharia,FEJESP,34,35,3,2,750,1,0,SP,Araras,25
StartUP! Engenharia,FEJESP,34,35,3,3,0,0,0,SP,Araras,25
StartUP! Engenharia,FEJESP,34,35,3,4,0,0,0,SP,Araras,25
CONEX - Consultoria em Negócios Exteriores,Concentro,15.5,70,13,1,150,1,0,DF,Brasília,10
CONEX - Consultoria em Negócios Exteriores,Concentro,15.5,70,13,2,800,1,0,DF,Brasília,10
CONEX - Consultoria em Negócios Exteriores,Concentro,15.5,70,13,3,0,0,0,DF,Brasília,10
CONEX - Consultoria em Negócios Exteriores,Concentro,15.5,70,13,4,0,0,0,DF,Brasília,10
Mata Branca Jr.,FEJECE,29.5,40,2,1,0,0,0,CE,Fortaleza,15
Mata Branca Jr.,FEJECE,29.5,40,2,2,0,0,0,CE,Fortaleza,15
Mata Branca Jr.,FEJECE,29.5,40,2,3,140,1,0,CE,Fortaleza,15
Mata Branca Jr.,FEJECE,29.5,40,2,4,270,1,0,CE,Fortaleza,15
Liga Consultoria,FEJEPE,NaN,60,1,1,0,0,0,PE,,9
Liga Consultoria,FEJEPE,NaN,60,1,2,0,0,0,PE,,9
Liga Consultoria,FEJEPE,NaN,60,1,3,0,0,0,PE,,9
Liga Consultoria,FEJEPE,NaN,60,1,4,0,0,0,PE,,9
Otimiza ,FEJEPAR,17.5,50,18,1,0,0,0,PR,,17
Otimiza ,FEJEPAR,17.5,50,18,2,0,0,0,PR,,17
Otimiza ,FEJEPAR,17.5,50,18,3,1200,2,0,PR,,17
Otimiza ,FEJEPAR,17.5,50,18,4,0,0,0,PR,,17
Agro Júnior Consultoria e Assistência Agronômica,Goiás Júnior,365,80,2,1,960,1,0,GO,Palmeiras de Goiás,9
Agro Júnior Consultoria e Assistência Agronômica,Goiás Júnior,365,80,2,2,0,0,0,GO,Palmeiras de Goiás,9
Agro Júnior Consultoria e Assistência Agronômica,Goiás Júnior,365,80,2,3,0,0,0,GO,Palmeiras de Goiás,9
dAgro Júnior Consultoria e Assistência Agronômicad,dGoiás Júniord,d365d,d80d,d2d,d4d,d0d,d0d,d0d,dGOd,dPalmeiras de Goiásd,d9d
Elementus Júnior Consultoria,FEJEPE,36.11,90,25,1,10046.04,4,2,PE,Recife,34
Elementus Júnior Consultoria,FEJEPE,36.11,90,25,2,6890.74,3,1,PE,Recife,34
Elementus Júnior Consultoria,FEJEPE,36.11,90,25,3,350,1,0,PE,Recife,34
Elementus Júnior Consultoria,FEJEPE,36.11,90,25,4,5201.14,1,1,PE,Recife,34
MAE Jr,Piauí Júnior,7.5,80,1,1,850,2,1,PI,Floriano,10
MAE Jr,Piauí Júnior,7.5,80,1,2,0,0,0,PI,Floriano,10
MAE Jr,Piauí Júnior,7.5,80,1,3,0,0,0,PI,Floriano,10
MAE Jr,Piauí Júnior,7.5,80,1,4,0,0,0,PI,Floriano,10
Porte Empresa Júnior,FEJEMG,20.75,80,110,1,13820,9,0,MG,Juiz de Fora,55
Porte Empresa Júnior,FEJEMG,20.75,80,110,2,40722.3,27,0,MG,Juiz de Fora,55
Porte Empresa Júnior,FEJEMG,20.75,80,110,3,109867.75,10,3,MG,Juiz de Fora,55
Porte Empresa Júnior,FEJEMG,20.75,80,110,4,44389.39,15,1,MG,Juiz de Fora,55
Capital Júnior ,Acre Júnior,NaN,0,0,1,0,0,0,AC,Rio Branco,2
Capital Júnior ,Acre Júnior,NaN,0,0,2,0,0,0,AC,Rio Branco,2
Capital Júnior ,Acre Júnior,NaN,0,0,3,0,0,0,AC,Rio Branco,2
Capital Júnior ,Acre Júnior,NaN,0,0,4,0,0,0,AC,Rio Branco,2
FEA júnior USP,FEJESP,40.11,80,23,1,0,0,0,SP,São Paulo,28
FEA júnior USP,FEJESP,40.11,80,23,2,3000,1,0,SP,São Paulo,28
FEA júnior USP,FEJESP,40.11,80,23,3,65300,7,0,SP,São Paulo,28
FEA júnior USP,FEJESP,40.11,80,23,4,7600,1,1,SP,São Paulo,28
EJIFAR - Empresa Júnior Integrada de Farmácia,FEJESC,NaN,40,3,1,0,0,0,SC,Florianópolis,12
EJIFAR - Empresa Júnior Integrada de Farmácia,FEJESC,NaN,40,3,2,0,0,0,SC,Florianópolis,12
EJIFAR - Empresa Júnior Integrada de Farmácia,FEJESC,NaN,40,3,3,0,0,0,SC,Florianópolis,12
EJIFAR - Empresa Júnior Integrada de Farmácia,FEJESC,NaN,40,3,4,0,0,0,SC,Florianópolis,12
Robótica Tucuju Enterprise,FEJEAP,NaN,80,6,1,0,0,0,AP,,9
Robótica Tucuju Enterprise,FEJEAP,NaN,80,6,2,0,0,0,AP,,9
Robótica Tucuju Enterprise,FEJEAP,NaN,80,6,3,0,0,0,AP,,9
Robótica Tucuju Enterprise,FEJEAP,NaN,80,6,4,0,0,0,AP,,9
ACTUS Soluções e Consultoria,FEJEPAR,19,50,19,1,0,0,0,PR,Guarapuava,17
ACTUS Soluções e Consultoria,FEJEPAR,19,50,19,2,0,0,0,PR,Guarapuava,17
ACTUS Soluções e Consultoria,FEJEPAR,19,50,19,3,1700,1,0,PR,Guarapuava,17
ACTUS Soluções e Consultoria,FEJEPAR,19,50,19,4,0,0,0,PR,Guarapuava,17
TECMEC,Concentro,19,55,9,1,26900,6,0,DF,Brasília,32
TECMEC,Concentro,19,55,9,2,600,2,0,DF,Brasília,32
TECMEC,Concentro,19,55,9,3,0,0,0,DF,Brasília,32
TECMEC,Concentro,19,55,9,4,0,0,0,DF,Brasília,32
Sigma Júnior Consultoria Estatística ,FEJERS,8.62,66,2,1,1551.42,4,0,RS,,19
Sigma Júnior Consultoria Estatística ,FEJERS,8.62,66,2,2,0,0,0,RS,,19
Sigma Júnior Consultoria Estatística ,FEJERS,8.62,66,2,3,2003.34,7,0,RS,,19
Sigma Júnior Consultoria Estatística ,FEJERS,8.62,66,2,4,2952,2,0,RS,,19
Associação Simbiosis Empresa Júnior,FEJESC,NaN,60,9,1,0,0,0,SC,Florianópolis,3
Associação Simbiosis Empresa Júnior,FEJESC,NaN,60,9,2,0,0,0,SC,Florianópolis,3
Associação Simbiosis Empresa Júnior,FEJESC,NaN,60,9,3,0,0,0,SC,Florianópolis,3
Associação Simbiosis Empresa Júnior,FEJESC,NaN,60,9,4,0,0,0,SC,Florianópolis,3
LIFE Jr. Laboratório de Inovações,UNIJr-BA,17,44,3,1,4200,4,0,BA,Ilhéus,17
LIFE Jr. Laboratório de Inovações,UNIJr-BA,17,44,3,2,0,0,0,BA,Ilhéus,17
LIFE Jr. Laboratório de Inovações,UNIJr-BA,17,44,3,3,1450,2,0,BA,Ilhéus,17
LIFE Jr. Laboratório de Inovações,UNIJr-BA,17,44,3,4,0,0,0,BA,Ilhéus,17
ITEP Jr,FEJERS,23.4,80,20,1,11396.38,4,0,RS,Santa Maria,21
ITEP Jr,FEJERS,23.4,80,20,2,0,0,0,RS,Santa Maria,21
ITEP Jr,FEJERS,23.4,80,20,3,4600.35,2,0,RS,Santa Maria,21
ITEP Jr,FEJERS,23.4,80,20,4,8500,4,0,RS,Santa Maria,21
Magna Empresa Jurídica Júnior,FEJEMG,6,33,1,1,700,2,0,MG,Uberlândia,20
Magna Empresa Jurídica Júnior,FEJEMG,6,33,1,2,0,0,0,MG,Uberlândia,20
Magna Empresa Jurídica Júnior,FEJEMG,6,33,1,3,380,1,0,MG,Uberlândia,20
Magna Empresa Jurídica Júnior,FEJEMG,6,33,1,4,0,0,0,MG,Uberlândia,20
O2 Consultoria Ambiental Júnior,Concentro,NaN,35,5,1,0,0,0,DF,,10
O2 Consultoria Ambiental Júnior,Concentro,NaN,35,5,2,0,0,0,DF,,10
O2 Consultoria Ambiental Júnior,Concentro,NaN,35,5,3,0,0,0,DF,,10
O2 Consultoria Ambiental Júnior,Concentro,NaN,35,5,4,0,0,0,DF,,10
Olé Júnior,Concentro,NaN,0,0,1,0,0,0,DF,Brasília,4
Olé Júnior,Concentro,NaN,0,0,2,0,0,0,DF,Brasília,4
Olé Júnior,Concentro,NaN,0,0,3,0,0,0,DF,Brasília,4
Olé Júnior,Concentro,NaN,0,0,4,0,0,0,DF,Brasília,4
IDEAS - Projetos e Soluções Corporativas,Juniores,53,80,8,1,0,0,0,ES,Serra,5
IDEAS - Projetos e Soluções Corporativas,Juniores,53,80,8,2,0,0,0,ES,Serra,5
IDEAS - Projetos e Soluções Corporativas,Juniores,53,80,8,3,0,0,0,ES,Serra,5
IDEAS - Projetos e Soluções Corporativas,Juniores,53,80,8,4,2000,1,0,ES,Serra,5
SetApp,FEJEMG,NaN,70,14,1,0,0,0,MG,,22
SetApp,FEJEMG,NaN,70,14,2,0,0,0,MG,,22
SetApp,FEJEMG,NaN,70,14,3,0,0,2,MG,,22
SetApp,FEJEMG,NaN,70,14,4,0,0,0,MG,,22
AgroVale Júnior,FEMTEJ,NaN,33,1,1,0,0,0,MT,Barra do Garças,8
AgroVale Júnior,FEMTEJ,NaN,33,1,2,0,0,0,MT,Barra do Garças,8
AgroVale Júnior,FEMTEJ,NaN,33,1,3,0,0,0,MT,Barra do Garças,8
AgroVale Júnior,FEMTEJ,NaN,33,1,4,0,0,0,MT,Barra do Garças,8
Atria Júnior,FEJESP,NaN,65,1,1,0,0,0,SP,Limeira,13
Atria Júnior,FEJESP,NaN,65,1,2,0,0,0,SP,Limeira,13
Atria Júnior,FEJESP,NaN,65,1,3,0,0,0,SP,Limeira,13
Atria Júnior,FEJESP,NaN,65,1,4,0,0,0,SP,Limeira,13
Conecta Jr.,FEJEMS,NaN,70,4,1,0,0,0,MS,Corumbá,5
Conecta Jr.,FEJEMS,NaN,70,4,2,0,0,0,MS,Corumbá,5
Conecta Jr.,FEJEMS,NaN,70,4,3,0,0,0,MS,Corumbá,5
Conecta Jr.,FEJEMS,NaN,70,4,4,0,0,0,MS,Corumbá,5
João Pinheiro Jr.,FEJEMG,30,70,4,1,0,0,0,MG,Belo Horizonte,23
João Pinheiro Jr.,FEJEMG,30,70,4,2,430,1,0,MG,Belo Horizonte,23
João Pinheiro Jr.,FEJEMG,30,70,4,3,0,0,0,MG,Belo Horizonte,23
João Pinheiro Jr.,FEJEMG,30,70,4,4,0,0,0,MG,Belo Horizonte,23
Code Empresa Júnior de Computação,FEJEMG,41,35,8,1,175,1,0,MG,Juiz de Fora,24
Code Empresa Júnior de Computação,FEJEMG,41,35,8,2,690,2,0,MG,Juiz de Fora,24
Code Empresa Júnior de Computação,FEJEMG,41,35,8,3,3835,2,0,MG,Juiz de Fora,24
Code Empresa Júnior de Computação,FEJEMG,41,35,8,4,0,0,0,MG,Juiz de Fora,24
Arq Jr. Projetos e Consultorias,FEJEMG,63.33,75,8,1,0,0,0,MG,Ouro Preto,33
Arq Jr. Projetos e Consultorias,FEJEMG,63.33,75,8,2,550,1,0,MG,Ouro Preto,33
Arq Jr. Projetos e Consultorias,FEJEMG,63.33,75,8,3,1499.08,2,0,MG,Ouro Preto,33
Arq Jr. Projetos e Consultorias,FEJEMG,63.33,75,8,4,0,0,0,MG,Ouro Preto,33
UniSigma Consultoria,PB Júnior,10,80,2,1,1300,1,0,PB,João Pessoa,12
UniSigma Consultoria,PB Júnior,10,80,2,2,0,0,0,PB,João Pessoa,12
UniSigma Consultoria,PB Júnior,10,80,2,3,0,0,0,PB,João Pessoa,12
UniSigma Consultoria,PB Júnior,10,80,2,4,0,0,0,PB,João Pessoa,12
Ciclo Consultoria,FEJEPE,15.67,33,8,1,770,1,0,PE,Recife,31
Ciclo Consultoria,FEJEPE,15.67,33,8,2,0,0,0,PE,Recife,31
Ciclo Consultoria,FEJEPE,15.67,33,8,3,14700,5,0,PE,Recife,31
Ciclo Consultoria,FEJEPE,15.67,33,8,4,0,0,0,PE,Recife,31
Socius - Consultoria Júnior em Ciências Sociais,Concentro,43,43,3,1,0,0,0,DF,Brasília,8
Socius - Consultoria Júnior em Ciências Sociais,Concentro,43,43,3,2,2700,1,0,DF,Brasília,8
Socius - Consultoria Júnior em Ciências Sociais,Concentro,43,43,3,3,0,0,0,DF,Brasília,8
Socius - Consultoria Júnior em Ciências Sociais,Concentro,43,43,3,4,0,0,0,DF,Brasília,8
Ayra Consultoria,RioJunior,48,33,25,1,5211,1,0,RJ,Rio de Janeiro,35
Ayra Consultoria,RioJunior,48,33,25,2,0,0,0,RJ,Rio de Janeiro,35
Ayra Consultoria,RioJunior,48,33,25,3,0,0,0,RJ,Rio de Janeiro,35
Ayra Consultoria,RioJunior,48,33,25,4,0,0,0,RJ,Rio de Janeiro,35
Datum Engenharia Jr.,UNIJr-BA,16,100,18,1,600,1,0,BA,Salvador,7
Datum Engenharia Jr.,UNIJr-BA,16,100,18,2,0,0,0,BA,Salvador,7
Datum Engenharia Jr.,UNIJr-BA,16,100,18,3,0,0,0,BA,Salvador,7
Datum Engenharia Jr.,UNIJr-BA,16,100,18,4,0,0,0,BA,Salvador,7
Motriz Empresa Júnior,FEJESP,43.67,80,25,1,0,0,0,SP,Campinas,25
Motriz Empresa Júnior,FEJESP,43.67,80,25,2,13300,3,1,SP,Campinas,25
Motriz Empresa Júnior,FEJESP,43.67,80,25,3,5200,1,1,SP,Campinas,25
Motriz Empresa Júnior,FEJESP,43.67,80,25,4,47200,2,1,SP,Campinas,25
Consultoria Empresarial de Engenharia Química - CEJEQ,FEJESC,NaN,40,2,1,0,0,0,SC,,3
Consultoria Empresarial de Engenharia Química - CEJEQ,FEJESC,NaN,40,2,2,0,0,0,SC,,3
Consultoria Empresarial de Engenharia Química - CEJEQ,FEJESC,NaN,40,2,3,0,0,0,SC,,3
Consultoria Empresarial de Engenharia Química - CEJEQ,FEJESC,NaN,40,2,4,0,0,0,SC,,3
Maximiza Consultoria,FEJEPAR,34.33,59,3,1,0,0,0,PR,Jandaia do Sul,14
Maximiza Consultoria,FEJEPAR,34.33,59,3,2,1374.9,1,0,PR,Jandaia do Sul,14
Maximiza Consultoria,FEJEPAR,34.33,59,3,3,2040,2,0,PR,Jandaia do Sul,14
Maximiza Consultoria,FEJEPAR,34.33,59,3,4,0,0,0,PR,Jandaia do Sul,14
Aspecto Empreendimento Criativo,FEJEMG,14.6,33,40,1,0,0,0,MG,Juiz de Fora,26
Aspecto Empreendimento Criativo,FEJEMG,14.6,33,40,2,1338.8,4,0,MG,Juiz de Fora,26
Aspecto Empreendimento Criativo,FEJEMG,14.6,33,40,3,3495,10,0,MG,Juiz de Fora,26
Aspecto Empreendimento Criativo,FEJEMG,14.6,33,40,4,7185,11,0,MG,Juiz de Fora,26
Atmos Júnior,FEJESP,6,33,1,1,0,0,0,SP,Bauru,5
Atmos Júnior,FEJESP,6,33,1,2,0,0,0,SP,Bauru,5
Atmos Júnior,FEJESP,6,33,1,3,120,1,0,SP,Bauru,5
Atmos Júnior,FEJESP,6,33,1,4,0,0,0,SP,Bauru,5
Archipolis Júnior,Juniores,38.5,60,3,1,1500,1,0,ES,Vitória,17
Archipolis Júnior,Juniores,38.5,60,3,2,634,1,0,ES,Vitória,17
Archipolis Júnior,Juniores,38.5,60,3,3,3109,2,0,ES,Vitória,17
Archipolis Júnior,Juniores,38.5,60,3,4,0,0,0,ES,Vitória,17
Controle Consultoria Jr ,UNIJr-BA,30,80,13,1,0,0,0,BA,Salvador,10
Controle Consultoria Jr ,UNIJr-BA,30,80,13,2,0,0,0,BA,Salvador,10
Controle Consultoria Jr ,UNIJr-BA,30,80,13,3,0,0,0,BA,Salvador,10
Controle Consultoria Jr ,UNIJr-BA,30,80,13,4,1500,2,0,BA,Salvador,10
CodeX,PB Júnior,NaN,53,3,1,0,0,0,PB,Campina Grande,7
CodeX,PB Júnior,NaN,53,3,2,0,0,0,PB,Campina Grande,7
CodeX,PB Júnior,NaN,53,3,3,0,0,0,PB,Campina Grande,7
CodeX,PB Júnior,NaN,53,3,4,0,0,0,PB,Campina Grande,7
