EMPRESA_JUNIOR,FEDERACAO,ANO_FEDERACAO,CLUSTER_2018,CLUSTER_2019,AC,TEMPO_MEDIO_DIAS,FATURAMENTO,N_MEMBROS_PROJETO,NPS,ESTADO,CIDADE,UNIVERSIDADE,MEMBROS,ID,ACAO_COMPARTILHADA,MES
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,9362.63,3,9,PE,Recife,UPE,51,29,Não,4
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,11754.43,2,N/A,PE,Recife,UPE,51,29,Não,3
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,10449.50,5,N/A,PE,Recife,UPE,51,29,Não,3
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,7900.00,4,N/A,PE,Recife,UPE,51,29,Sim,5
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,10000.00,2,N/A,PE,Recife,UPE,51,29,Não,3
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,8000.00,3,N/A,PE,Recife,UPE,51,29,Não,5
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,9900.00,3,N/A,PE,Recife,UPE,51,29,Não,5
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,11925.30,2,N/A,PE,Recife,UPE,51,29,Não,3
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,5300.00,2,10,PE,Recife,UPE,51,29,Não,5
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,5600.00,2,10,PE,Recife,UPE,51,29,Não,5
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,11915.42,2,10,PE,Recife,UPE,51,29,Não,1
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,6000.00,2,10,PE,Recife,UPE,51,29,Não,2
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,3000.00,2,10,PE,Recife,UPE,51,29,Sim,3
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,3463.48,2,10,PE,Recife,UPE,51,29,Não,6
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,5524.95,2,N/A,PE,Recife,UPE,51,29,Não,6
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,3817.50,3,10,PE,Recife,UPE,51,29,Sim,7
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,6000.00,4,N/A,PE,Recife,UPE,51,29,Não,7
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,8500.00,3,N/A,PE,Recife,UPE,51,29,Não,7
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,9600.00,2,N/A,PE,Recife,UPE,51,29,Não,7
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,10000.00,3,N/A,PE,Recife,UPE,51,29,Não,7
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,15069.28,3,10,PE,Recife,UPE,51,29,Não,1
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,250.00,1,N/A,PE,Recife,UPE,51,29,Sim,7
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,6584.40,2,N/A,PE,Recife,UPE,51,29,Não,7
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,31308.20,4,N/A,PE,Recife,UPE,51,29,Não,7
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,8745.61,2,N/A,PE,Recife,UPE,51,29,Não,7
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,4550.00,2,N/A,PE,Recife,UPE,51,29,Não,8
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,10000.00,2,N/A,PE,Recife,UPE,51,29,Não,8
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,8300.00,2,N/A,PE,Recife,UPE,51,29,Não,8
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,90436.29,4,N/A,PE,Recife,UPE,51,29,Não,8
FCAP JR. Consultoria,FEJEPE,1990,5,5,Não,31.78,39000.00,5,N/A,PE,Recife,UPE,51,29,Não,8
PROADE,Concentro,2017,1,1,Não,14,150.00,2,N/A,DF,Brasília,UCB,8,544,Não,7
Premium Consultoria,FEJECE,2018,N/A,3,Não,34.22,2171.00,2,N/A,CE,,UNIVERSIDADE FEDERAL DO CARIRI,16,870,Não,5
Premium Consultoria,FEJECE,2018,N/A,3,Não,34.22,1290.00,2,10,CE,,UNIVERSIDADE FEDERAL DO CARIRI,16,870,Não,6
Premium Consultoria,FEJECE,2018,N/A,3,Não,34.22,11227.70,2,N/A,CE,,UNIVERSIDADE FEDERAL DO CARIRI,16,870,Não,6
Premium Consultoria,FEJECE,2018,N/A,3,Não,34.22,200.00,1,7,CE,,UNIVERSIDADE FEDERAL DO CARIRI,16,870,Não,6
Premium Consultoria,FEJECE,2018,N/A,3,Não,34.22,1674.00,9,10,CE,,UNIVERSIDADE FEDERAL DO CARIRI,16,870,Sim,2
Premium Consultoria,FEJECE,2018,N/A,3,Não,34.22,2350.00,3,9,CE,,UNIVERSIDADE FEDERAL DO CARIRI,16,870,Não,4
Premium Consultoria,FEJECE,2018,N/A,3,Não,34.22,1000.00,2,N/A,CE,,UNIVERSIDADE FEDERAL DO CARIRI,16,870,Sim,7
Premium Consultoria,FEJECE,2018,N/A,3,Não,34.22,2337.50,4,N/A,CE,,UNIVERSIDADE FEDERAL DO CARIRI,16,870,Não,4
Concrete,RN Júnior,2018,N/A,1,Não,21.41,650.00,2,10,RN,,Universidade Potiguar,30,1110,Não,1
Concrete,RN Júnior,2018,N/A,1,Não,21.41,135.00,1,9,RN,,Universidade Potiguar,30,1110,Não,1
Concrete,RN Júnior,2018,N/A,1,Não,21.41,400.00,1,9,RN,,Universidade Potiguar,30,1110,Não,1
Concrete,RN Júnior,2018,N/A,1,Não,21.41,4440.00,5,N/A,RN,,Universidade Potiguar,30,1110,Não,4
Concrete,RN Júnior,2018,N/A,1,Não,21.41,5100.00,3,N/A,RN,,Universidade Potiguar,30,1110,Não,4
Concrete,RN Júnior,2018,N/A,1,Não,21.41,900.00,3,N/A,RN,,Universidade Potiguar,30,1110,Não,2
Concrete,RN Júnior,2018,N/A,1,Não,21.41,650.00,1,7,RN,,Universidade Potiguar,30,1110,Não,4
Concrete,RN Júnior,2018,N/A,1,Não,21.41,600.00,2,10,RN,,Universidade Potiguar,30,1110,Não,5
Concrete,RN Júnior,2018,N/A,1,Não,21.41,2300.00,5,N/A,RN,,Universidade Potiguar,30,1110,Não,5
Concrete,RN Júnior,2018,N/A,1,Não,21.41,108.00,3,N/A,RN,,Universidade Potiguar,30,1110,Não,5
Concrete,RN Júnior,2018,N/A,1,Não,21.41,6100.00,5,N/A,RN,,Universidade Potiguar,30,1110,Não,6
Concrete,RN Júnior,2018,N/A,1,Não,21.41,1304.00,5,10,RN,,Universidade Potiguar,30,1110,Sim,6
Concrete,RN Júnior,2018,N/A,1,Não,21.41,100.00,1,10,RN,,Universidade Potiguar,30,1110,Não,5
Concrete,RN Júnior,2018,N/A,1,Não,21.41,650.00,2,N/A,RN,,Universidade Potiguar,30,1110,Não,6
Concrete,RN Júnior,2018,N/A,1,Não,21.41,1596.45,3,N/A,RN,,Universidade Potiguar,30,1110,Não,7
Concrete,RN Júnior,2018,N/A,1,Não,21.41,600.00,1,N/A,RN,,Universidade Potiguar,30,1110,Não,8
Concrete,RN Júnior,2018,N/A,1,Não,21.41,90.00,1,9,RN,,Universidade Potiguar,30,1110,Não,3
Concrete,RN Júnior,2018,N/A,1,Não,21.41,600.00,3,10,RN,,Universidade Potiguar,30,1110,Não,3
Concrete,RN Júnior,2018,N/A,1,Não,21.41,1200.00,3,10,RN,,Universidade Potiguar,30,1110,Não,7
Adapti ,Juniores,2014,2,3,Não,28.23,1600.00,5,N/A,ES,São Mateus,Universidade Federal do Espírito Santo,23,81,Não,8
Adapti ,Juniores,2014,2,3,Não,28.23,5200.00,3,N/A,ES,São Mateus,Universidade Federal do Espírito Santo,23,81,Não,5
Adapti ,Juniores,2014,2,3,Não,28.23,4000.00,2,N/A,ES,São Mateus,Universidade Federal do Espírito Santo,23,81,Não,4
Adapti ,Juniores,2014,2,3,Não,28.23,7000.00,1,N/A,ES,São Mateus,Universidade Federal do Espírito Santo,23,81,Sim,6
Adapti ,Juniores,2014,2,3,Não,28.23,3600.00,2,N/A,ES,São Mateus,Universidade Federal do Espírito Santo,23,81,Não,8
Eagle - Soluções Inteligentes de Sistemas e Computação,PB Júnior,2018,N/A,1,Não,45,2730.25,4,N/A,PB,Rio Tinto,UFPB,27,1197,Sim,5
Eagle - Soluções Inteligentes de Sistemas e Computação,PB Júnior,2018,N/A,1,Não,45,969.00,5,N/A,PB,Rio Tinto,UFPB,27,1197,Não,1
Ciclo Consultoria,FEJEPE,2016,3,4,Não,32.73,770.00,2,N/A,PE,Recife,UFPE,39,183,Não,1
Ciclo Consultoria,FEJEPE,2016,3,4,Não,32.73,5700.00,3,N/A,PE,Recife,UFPE,39,183,Não,3
Ciclo Consultoria,FEJEPE,2016,3,4,Não,32.73,6200.00,2,N/A,PE,Recife,UFPE,39,183,Não,5
Ciclo Consultoria,FEJEPE,2016,3,4,Não,32.73,9000.00,4,N/A,PE,Recife,UFPE,39,183,Não,3
Ciclo Consultoria,FEJEPE,2016,3,4,Não,32.73,6500.00,2,N/A,PE,Recife,UFPE,39,183,Não,5
Ciclo Consultoria,FEJEPE,2016,3,4,Não,32.73,3780.00,3,N/A,PE,Recife,UFPE,39,183,Não,5
Ciclo Consultoria,FEJEPE,2016,3,4,Não,32.73,8400.00,3,N/A,PE,Recife,UFPE,39,183,Sim,5
Ciclo Consultoria,FEJEPE,2016,3,4,Não,32.73,8300.00,3,N/A,PE,Recife,UFPE,39,183,Não,6
Ciclo Consultoria,FEJEPE,2016,3,4,Não,32.73,4500.00,2,N/A,PE,Recife,UFPE,39,183,Sim,6
Ciclo Consultoria,FEJEPE,2016,3,4,Não,32.73,12500.00,6,N/A,PE,Recife,UFPE,39,183,Não,6
Ciclo Consultoria,FEJEPE,2016,3,4,Não,32.73,10500.00,5,N/A,PE,Recife,UFPE,39,183,Não,6
Arq Jr. Projetos e Consultorias,FEJEMG,2014,2,2,Não,71.25,945.00,1,N/A,MG,Ouro Preto,UFOP,33,213,Não,5
Arq Jr. Projetos e Consultorias,FEJEMG,2014,2,2,Não,71.25,550.00,3,N/A,MG,Ouro Preto,UFOP,33,213,Não,2
Arq Jr. Projetos e Consultorias,FEJEMG,2014,2,2,Não,71.25,450.00,2,N/A,MG,Ouro Preto,UFOP,33,213,Não,3
Arq Jr. Projetos e Consultorias,FEJEMG,2014,2,2,Não,71.25,1049.08,2,N/A,MG,Ouro Preto,UFOP,33,213,Não,3
Arq Jr. Projetos e Consultorias,FEJEMG,2014,2,2,Não,71.25,195.00,2,N/A,MG,Ouro Preto,UFOP,33,213,Não,4
Arq Jr. Projetos e Consultorias,FEJEMG,2014,2,2,Não,71.25,500.00,1,N/A,MG,Ouro Preto,UFOP,33,213,Não,6
Arq Jr. Projetos e Consultorias,FEJEMG,2014,2,2,Não,71.25,3026.94,1,N/A,MG,Ouro Preto,UFOP,33,213,Não,7
Arq Jr. Projetos e Consultorias,FEJEMG,2014,2,2,Não,71.25,900.00,N/A,N/A,MG,Ouro Preto,UFOP,33,213,Não,7
Empresa Jr Analize - Assessoria Agropecuária,FEJESC,2018,N/A,1,Não,30.5,550.00,1,N/A,SC,Florianópolis,UNIVERSIDADE FEDERAL DE SANTA CATARINA,16,1173,Não,5
Empresa Jr Analize - Assessoria Agropecuária,FEJESC,2018,N/A,1,Não,30.5,1500.00,5,N/A,SC,Florianópolis,UNIVERSIDADE FEDERAL DE SANTA CATARINA,16,1173,Não,5
Empresa Jr Analize - Assessoria Agropecuária,FEJESC,2018,N/A,1,Não,30.5,1600.00,1,N/A,SC,Florianópolis,UNIVERSIDADE FEDERAL DE SANTA CATARINA,16,1173,Sim,5
Empresa Jr Analize - Assessoria Agropecuária,FEJESC,2018,N/A,1,Não,30.5,1600.00,1,N/A,SC,Florianópolis,UNIVERSIDADE FEDERAL DE SANTA CATARINA,16,1173,Sim,5
Maximiza Consultoria,FEJEPAR,2017,1,1,Não,29.14,1374.90,4,N/A,PR,Jandaia do Sul,UFPR,12,576,Não,2
Maximiza Consultoria,FEJEPAR,2017,1,1,Não,29.14,600.00,4,N/A,PR,Jandaia do Sul,UFPR,12,576,Não,3
Maximiza Consultoria,FEJEPAR,2017,1,1,Não,29.14,1440.00,4,N/A,PR,Jandaia do Sul,UFPR,12,576,Não,3
Maximiza Consultoria,FEJEPAR,2017,1,1,Não,29.14,804.50,3,N/A,PR,Jandaia do Sul,UFPR,12,576,Não,5
Maximiza Consultoria,FEJEPAR,2017,1,1,Não,29.14,1756.00,3,N/A,PR,Jandaia do Sul,UFPR,12,576,Não,6
Maximiza Consultoria,FEJEPAR,2017,1,1,Não,29.14,800.00,1,N/A,PR,Jandaia do Sul,UFPR,12,576,Não,7
Motriz Empresa Júnior,FEJESP,1994,4,5,Não,42.91,5200.00,3,N/A,SP,Campinas,UNICAMP,39,161,Sim,3
Motriz Empresa Júnior,FEJESP,1994,4,5,Não,42.91,4000.00,3,10,SP,Campinas,UNICAMP,39,161,Não,2
Motriz Empresa Júnior,FEJESP,1994,4,5,Não,42.91,30500.00,5,N/A,SP,Campinas,UNICAMP,39,161,Sim,4
Motriz Empresa Júnior,FEJESP,1994,4,5,Não,42.91,12200.00,5,N/A,SP,Campinas,UNICAMP,39,161,Não,4
Motriz Empresa Júnior,FEJESP,1994,4,5,Não,42.91,2800.00,2,7,SP,Campinas,UNICAMP,39,161,Sim,2
Motriz Empresa Júnior,FEJESP,1994,4,5,Não,42.91,6500.00,5,10,SP,Campinas,UNICAMP,39,161,Não,2
Motriz Empresa Júnior,FEJESP,1994,4,5,Não,42.91,13800.00,4,N/A,SP,Campinas,UNICAMP,39,161,Sim,7
Motriz Empresa Júnior,FEJESP,1994,4,5,Não,42.91,6800.00,3,N/A,SP,Campinas,UNICAMP,39,161,Não,7
Motriz Empresa Júnior,FEJESP,1994,4,5,Não,42.91,1000.00,4,N/A,SP,Campinas,UNICAMP,39,161,Não,7
Motriz Empresa Júnior,FEJESP,1994,4,5,Não,42.91,1900.00,1,N/A,SP,Campinas,UNICAMP,39,161,Não,8
Motriz Empresa Júnior,FEJESP,1994,4,5,Não,42.91,2200.00,1,N/A,SP,Campinas,UNICAMP,39,161,Não,8
Gaia Júnior ,FEJEPAR,2019,N/A,N/A,Não,0,600.00,2,N/A,PR,,UTFPR,11,1432,Não,8
Gaia Júnior ,FEJEPAR,2019,N/A,N/A,Não,0,1300.00,11,N/A,PR,,UTFPR,11,1432,Não,4
Gaia Júnior ,FEJEPAR,2019,N/A,N/A,Não,0,300.00,4,N/A,PR,,UTFPR,11,1432,Não,8
Ayra Consultoria,RioJunior,2003,4,4,Não,27.95,5211.00,4,N/A,RJ,Rio de Janeiro,UFRJ,47,466,Não,1
Ayra Consultoria,RioJunior,2003,4,4,Não,27.95,4616.21,5,N/A,RJ,Rio de Janeiro,UFRJ,47,466,Não,3
Ayra Consultoria,RioJunior,2003,4,4,Não,27.95,4345.00,3,N/A,RJ,Rio de Janeiro,UFRJ,47,466,Não,5
Ayra Consultoria,RioJunior,2003,4,4,Não,27.95,1199.00,4,N/A,RJ,Rio de Janeiro,UFRJ,47,466,Não,2
Ayra Consultoria,RioJunior,2003,4,4,Não,27.95,6276.96,4,N/A,RJ,Rio de Janeiro,UFRJ,47,466,Não,5
Ayra Consultoria,RioJunior,2003,4,4,Não,27.95,5400.00,2,N/A,RJ,Rio de Janeiro,UFRJ,47,466,Não,6
Ayra Consultoria,RioJunior,2003,4,4,Não,27.95,8020.98,3,N/A,RJ,Rio de Janeiro,UFRJ,47,466,Não,7
Ayra Consultoria,RioJunior,2003,4,4,Não,27.95,5449.16,3,N/A,RJ,Rio de Janeiro,UFRJ,47,466,Não,7
Ayra Consultoria,RioJunior,2003,4,4,Não,27.95,5309.00,3,N/A,RJ,Rio de Janeiro,UFRJ,47,466,Não,7
Ecomp Jr,UNIJr-BA,2016,2,1,Não,26.57,1000.00,1,N/A,BA,Feira de Santana,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,18,289,Não,1
Ecomp Jr,UNIJr-BA,2016,2,1,Não,26.57,4900.00,8,N/A,BA,Feira de Santana,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,18,289,Não,6
Ecomp Jr,UNIJr-BA,2016,2,1,Não,26.57,3500.00,2,N/A,BA,Feira de Santana,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,18,289,Não,6
Ecomp Jr,UNIJr-BA,2016,2,1,Não,26.57,1000.00,1,10,BA,Feira de Santana,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,18,289,Não,6
Ecomp Jr,UNIJr-BA,2016,2,1,Não,26.57,900.00,2,N/A,BA,Feira de Santana,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,18,289,Não,7
Ecomp Jr,UNIJr-BA,2016,2,1,Não,26.57,4500.00,1,N/A,BA,Feira de Santana,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,18,289,Sim,7
Ecomp Jr,UNIJr-BA,2016,2,1,Não,26.57,5000.00,1,N/A,BA,Feira de Santana,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,18,289,Não,7
Ecomp Jr,UNIJr-BA,2016,2,1,Não,26.57,3500.00,2,N/A,BA,Feira de Santana,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,18,289,Não,8
Projete JR,FEJESC,2018,N/A,1,Não,14.45,500.00,10,8,SC,Chapecó,Unochapecó,19,1142,Não,1
Projete JR,FEJESC,2018,N/A,1,Não,14.45,1000.00,6,9,SC,Chapecó,Unochapecó,19,1142,Não,3
Projete JR,FEJESC,2018,N/A,1,Não,14.45,500.00,3,9,SC,Chapecó,Unochapecó,19,1142,Não,3
Projete JR,FEJESC,2018,N/A,1,Não,14.45,200.00,7,8,SC,Chapecó,Unochapecó,19,1142,Não,3
Projete JR,FEJESC,2018,N/A,1,Não,14.45,3600.00,5,N/A,SC,Chapecó,Unochapecó,19,1142,Não,8
Projete JR,FEJESC,2018,N/A,1,Não,14.45,1000.00,3,8,SC,Chapecó,Unochapecó,19,1142,Não,6
Projete JR,FEJESC,2018,N/A,1,Não,14.45,80.00,6,9,SC,Chapecó,Unochapecó,19,1142,Não,7
Projete JR,FEJESC,2018,N/A,1,Não,14.45,342.00,6,8,SC,Chapecó,Unochapecó,19,1142,Não,7
Projete JR,FEJESC,2018,N/A,1,Não,14.45,120.00,2,10,SC,Chapecó,Unochapecó,19,1142,Não,7
Projete JR,FEJESC,2018,N/A,1,Não,14.45,300.00,5,N/A,SC,Chapecó,Unochapecó,19,1142,Não,8
Projete JR,FEJESC,2018,N/A,1,Não,14.45,1560.00,5,N/A,SC,Chapecó,Unochapecó,19,1142,Não,7
Primus Consultoria Empresarial,UNIJr-BA,2019,N/A,N/A,Não,55.56,3500.00,1,N/A,BA,,UNIVERSIDADE SALVADOR,32,1258,Não,1
Primus Consultoria Empresarial,UNIJr-BA,2019,N/A,N/A,Não,55.56,4000.00,1,N/A,BA,,UNIVERSIDADE SALVADOR,32,1258,Não,3
Primus Consultoria Empresarial,UNIJr-BA,2019,N/A,N/A,Não,55.56,2500.00,1,N/A,BA,,UNIVERSIDADE SALVADOR,32,1258,Não,3
Primus Consultoria Empresarial,UNIJr-BA,2019,N/A,N/A,Não,55.56,5900.00,2,N/A,BA,,UNIVERSIDADE SALVADOR,32,1258,Não,1
Primus Consultoria Empresarial,UNIJr-BA,2019,N/A,N/A,Não,55.56,4961.00,3,N/A,BA,,UNIVERSIDADE SALVADOR,32,1258,Não,1
Primus Consultoria Empresarial,UNIJr-BA,2019,N/A,N/A,Não,55.56,3950.00,1,N/A,BA,,UNIVERSIDADE SALVADOR,32,1258,Não,2
Primus Consultoria Empresarial,UNIJr-BA,2019,N/A,N/A,Não,55.56,3950.00,1,N/A,BA,,UNIVERSIDADE SALVADOR,32,1258,Não,2
Primus Consultoria Empresarial,UNIJr-BA,2019,N/A,N/A,Não,55.56,4000.00,2,N/A,BA,,UNIVERSIDADE SALVADOR,32,1258,Não,5
Primus Consultoria Empresarial,UNIJr-BA,2019,N/A,N/A,Não,55.56,5129.00,1,N/A,BA,,UNIVERSIDADE SALVADOR,32,1258,Não,5
Economontes Empresa Junior,FEJEMG,2018,N/A,2,Não,40,4200.00,3,N/A,MG,Montes Claros,Unimontes,6,915,Não,1
INTEGRA,FEJESP,2011,2,3,Não,18.17,13125.30,4,N/A,SP,Limeira,UNICAMP,63,70,Não,5
